province,address,price,Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation
Nor Nork,"Թոթովենցի փողոց, Երևան","$100,000",Stone,No,Not available,5,60,2,1,from 2.75 m,4,Multiple balconies,Available,Euro Renovation
Erebuni,"Artsakh avenue, Yerevan","$125,000",Panels,No,Available,14,102,4,2,from 2.8 m,14,Closed balcony,Available,Partial Renovation
Kentron,"Nalbandyan street, Yerevan","$127,000",Stone,No,Not available,4,39,1,1,from 3 m,2,Open balcony,Not available,Major Renovation
Kentron,"Mesrop Mashtots Avenue, Yerevan","$185,000",Panels,No,Available,11,85,3,1,from 2.8 m,9,Multiple balconies,Not available,Old Renovation
Kentron,"Vardanants Street, Երևան","$98,000",Panels,No,Available,10,42,1,1,from 2.7 m,10,Not available,By agreement,Euro Renovation
Arabkir,"Mamikonyants street, Yerevan","$190,000",Monolith,Yes,Available,14,88,3,2,from 3 m,11,Not available,Not available,No Renovation
Davitashen,"Տիգրան Պետրոսյան փողոց, Երևան","$208,000",Monolith,Yes,Available,5,131,4,2,from 3 m,4,Open balcony,Not available,No Renovation
Kentron,"Ավետիք Իսահակյան փողոց, Երևան","$255,000",Stone,No,Not available,5,101,3,1,from 3.2 m,5,Not available,By agreement,Major Renovation
Davitashen,"Դավթաշեն 1-ին թաղամաս, Երևան","$160,000",Monolith,Yes,Available,13,64,3,1,from 2.8 m,7,Open balcony,Available,Euro Renovation
Davitashen,"Դավթաշեն 3-րդ թաղամաս, Երևան","$227,000",Monolith,Yes,Available,14,72,2,1,from 3 m,10,Open balcony,Available,Designer Renovation
Davitashen,"Sasna Tsrer Street, Yerevan","$320,000",Monolith,Yes,Available,14,112,3,2,from 3 m,8,Open balcony,Available,Designer Renovation
Davitashen,"Ձոր 1 թաղամաս, Երևան","$142,000",Monolith,Yes,Not available,4,100,3,1,from 3 m,4,Open balcony,By agreement,Euro Renovation
Davitashen,"Անաստաս Միկոյան փողոց, Երևան","$257,000",Monolith,Yes,Available,15,105,4,2,from 3 m,4,Open balcony,Partial Furniture,Euro Renovation
Kentron,"Tpagrichner Street, Yerevan","€136,000",Stone,No,Not available,4,43,2,1,from 3 m,1,Closed balcony,Not available,Old Renovation
Kentron,"Argishti street 9, Yerevan","$128,000",Monolith,Yes,Available,14,55,2,1,from 3 m,6,Open balcony,Not available,Major Renovation
Arabkir,"Vagharsh Vagharshyan street, Yerevan","$83,000",Stone,No,Not available,5,32,1,1,from 2.6 m,4,Open balcony,By agreement,Euro Renovation
Davitashen,"Անաստաս Միկոյանի փողոց, Երևան","$150,000",Monolith,Yes,Available,15,105,4,2,from 3 m,2,Open balcony,Not available,No Renovation
Arabkir,"Nikoghayos Adonts Street, Yerevan","$330,000",Monolith,Yes,Available,8,124,3,2,from 3 m,3,Multiple balconies,Not available,No Renovation
Avan,"Ծարավ աղբյուրի փողոց, Երևան","$109,900",Monolith,Yes,Available,14,76,3,2,from 3 m,3,Multiple balconies,Not available,No Renovation
Kentron,"Սարյանի փողոց, Երևան","$178,000",Stone,No,Not available,4,53,2,1,from 2.8 m,2,Open balcony,Available,Cosmetic Renovation
Kentron,"Vardanants Street, Yerevan","$339,000",Stone,No,Available,6,100,3,1,from 2.8 m,3,Not available,Available,Major Renovation
Kentron,"Abovyan street, Yerevan","$450,000",Monolith,Yes,Available,6,80,3,1,from 2.8 m,6,Not available,Available,Euro Renovation
Kentron,"Փավստոս Բուզանդի փողոց, Երևան","$320,000",Monolith,Yes,Available,9,81,2,2,from 3 m,4,Open balcony,Available,Major Renovation
Kentron,"Արգիշտի փողոց, Երևան","$440,000",Monolith,Yes,Available,14,175,4,3+,from 3 m,12,Open balcony,Available,Major Renovation
Kentron,"Vardanants Street 16/1, Yerevan","$450,000",Stone,No,Not available,5,86,3,2,from 3 m,2,Open balcony,Available,Major Renovation
Kentron,"Улица Московян 8, Ереван","$250,000",Stone,No,Not available,5,50,2,1,from 3 m,2,Open balcony,Available,Major Renovation
Kentron,"Վերին Անտառային փողոց, Երևան","$490,000",Stone,Yes,Available,5,152,4,3+,from 3 m,4,Closed balcony,Available,Major Renovation
Arabkir,"Azatutyan Avenue 12, Yerevan","53,800,000 ֏",Stone,No,Not available,4,65,2,1,from 3 m,3,Closed balcony,Available,Major Renovation
Arabkir,"Sevkaretsi Sako street 30, Yerevan","$210,000",Monolith,Yes,Available,6,90,3,2,from 3 m,1,Multiple balconies,Partial Furniture,Major Renovation
Kentron,"Parpetsi Street, Yerevan","$118,000",Panels,No,Available,9,37,1,1,from 2.8 m,7,Not available,Partial Furniture,Partial Renovation
Nor Nork,"Nansen street, Yerevan","$64,999",Panels,No,Not available,5,56,2,1,from 2.6 m,1,Closed balcony,Not available,Old Renovation
Kentron,"Khorenatsi street, Yerevan","$124,000",Panels,No,Available,12,65,3,1,from 2.7 m,1,Not available,Partial Furniture,Cosmetic Renovation
Kanaker-Zeytun,"Karapet Ulnetsi street, Երևան","$370,000",Monolith,Yes,Available,11,110,3,1,from 3 m,7,Open balcony,Available,Designer Renovation
Shengavit,"Մանանդյան փողոց 1/2, Երևան","$150,000",Panels,No,Available,9,80,3,1,from 2.8 m,7,Open balcony,Available,Partial Renovation
Kentron,"Tigran Mets Avenue, Yerevan","$94,000",Stone,No,Not available,5,32,1,1,from 3 m,2,Not available,Available,Designer Renovation
Kentron,"Արամի փողոց, Երևան","$985,000",Monolith,Yes,Available,23,206,4,3+,from 3 m,21,Open balcony,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$374,000",Monolith,Yes,Available,13,103,4,2,from 3 m,5,Open balcony,Available,Major Renovation
Kentron,"Argishti street, Yerevan","$420,000",Monolith,Yes,Available,14,113,4,3+,from 3 m,11,Not available,Available,Designer Renovation
Kentron,"Լեոյի փողոց, Երևան","$205,000",Stone,No,Not available,5,62,3,1,from 2.8 m,3,Open balcony,Partial Furniture,Designer Renovation
Kentron,"Pavstos Buzand Street, Yerevan","$455,000",Monolith,Yes,Available,15,107,3,2,from 3 m,11,Open balcony,Not available,No Renovation
Kentron,"Tigran Mets Avenue, Yerevan","$265,000",Stone,No,Not available,4,96,3,1,from 3.2 m,4,Not available,Available,Designer Renovation
Kentron,"Yekmalyan street, Yerevan","$350,000",Monolith,Yes,Available,10,80,3,2,from 3 m,3,Not available,By agreement,Designer Renovation
Erebuni,"Nor-Aresh 42th street, Yerevan","$83,000",Stone,No,Not available,5,80,3,1,from 2.75 m,2,Not available,By agreement,Partial Renovation
Kentron,Yerevan › Kentron,"$215,000",Monolith,Yes,Available,7,94,3,1,from 3 m,7,Not available,Available,Major Renovation
Kentron,"Tamanyan street, Yerevan","$360,000",Stone,No,Not available,5,98,4,1,from 2.8 m,2,Open balcony,Partial Furniture,Major Renovation
Arabkir,"Hrachya Kochar Street, Yerevan","$116,000",Stone,No,Not available,5,59,2,1,from 2.7 m,5,Not available,Not available,Major Renovation
Kentron,"Փավստոս Բուզանդի փողոց, Երևան","$300,000",Monolith,Yes,Available,17,59,2,1,from 3 m,5,Open balcony,Available,Major Renovation
Avan,"Մհեր Մկրտչյան թաղ. 1-ին փողոց, Ավան","$150,000",Monolith,Yes,Not available,3,52,2,1,from 3 m,1,Open balcony,Available,Major Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$215,000",Stone,No,Not available,4,89,3,1,from 3.2 m,4,Open balcony,By agreement,Major Renovation
Kentron,"Tsaturyan Street, Yerevan","$167,000",Panels,No,Available,12,96,3,2,from 2.8 m,1,Open balcony,By agreement,Euro Renovation
Kentron,"Pavstos Buzand Street, Yerevan","$240,000",Monolith,Yes,Available,17,45,2,1,from 3 m,5,Not available,Available,Designer Renovation
Kentron,"Aygestan 10th street, Yerevan","$135,000",Panels,No,Available,9,64,2,1,from 2.8 m,9,Open balcony,Not available,Major Renovation
Arabkir,"Azatutyan Avenue, Yerevan","$130,000",Stone,No,Not available,5,39,2,1,from 3 m,4,Open balcony,Available,Major Renovation
Kentron,"Grigor Lusavorich street, Yerevan","$155,000",Stone,No,Not available,5,54,2,1,from 2.8 m,5,Open balcony,Partial Furniture,Euro Renovation
Kentron,"Վերին Անտառային փողոց, Երևան","$305,000",Monolith,Yes,Available,4,84,3,1,from 3.2 m,4,Open balcony,Available,Major Renovation
Arabkir,"Shahsuvaryan street, Yerevan","$210,000",Stone,No,Not available,3,152,6,2,from 3.2 m,3,Multiple balconies,By agreement,Old Renovation
Kentron,"Teryan street, Yerevan","$460,000",Monolith,Yes,Available,10,120,3,2,from 3 m,9,Not available,Available,Designer Renovation
Kentron,"Saryan Street, Yerevan","$230,000",Stone,No,Available,7,77,3,1,from 2.7 m,7,Closed balcony,Available,Designer Renovation
Avan,"Մարշալ Խուդյակովի փողոց, Երևան","$125,000",Panels,No,Available,9,86,4,1,from 2.7 m,3,Closed balcony,Available,Major Renovation
Shengavit,"Taronts street 1st Lane, Yerevan","$130,000",Cassette,No,Not available,4,91,3,1,from 2.6 m,1,Not available,Partial Furniture,Major Renovation
Erebuni,"Էրեբունու փողոց, Երևան","$165,000",Monolith,Yes,Available,15,70,2,1,from 3 m,14,Open balcony,Available,Major Renovation
Kentron,"Argishti street, Yerevan","$135,000",Monolith,Yes,Available,14,35,1,1,from 3 m,2,Open balcony,Available,Major Renovation
Kentron,"Մովսես Խորենացու փողոց, Երևան","$101,000",Panels,No,Available,16,73,2,1,from 2.75 m,10,Open balcony,By agreement,Old Renovation
Arabkir,"Komitas Avenue, Yerevan","$158,000",Panels,No,Available,9,87,3,1,from 2.75 m,1,Open balcony,By agreement,Cosmetic Renovation
Kentron,"Kievyan street, Yerevan","$110,000",Panels,No,Available,9,54,1,1,from 2.75 m,3,Not available,By agreement,Cosmetic Renovation
Kanaker-Zeytun,"Կարապետ Ուլնեցու փողոց, Երևան","$650,000",Monolith,Yes,Available,16,163,5,2,from 3.5 m,16,Open balcony,Not available,No Renovation
Erebuni,"Erebuni street, Yerevan","$113,000",Stone,No,Not available,5,76,3,1,from 2.8 m,2,Not available,Not available,Cosmetic Renovation
Kentron,"Paronyan street, Yerevan","$85,000",Stone,No,Not available,3,32,1,1,from 3 m,3,Not available,Not available,Cosmetic Renovation
Nor Nork,"Moldovakan street, Yerevan","$100,000",Panels,No,Available,9,69,3,1,from 2.75 m,6,Not available,By agreement,Cosmetic Renovation
Kanaker-Zeytun,"Karapet Ulnetsi Street, Yerevan","$170,000",Stone,No,Available,6,101,4,2,from 2.8 m,6,Open balcony,Available,Euro Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$240,000",Monolith,Yes,Available,18,98,4,1,from 3 m,4,Multiple balconies,Not available,Major Renovation
Kentron,"Ռաֆայել Իսրաելյան փողոց, Երևան","$140,000",Panels,No,Available,9,55,1,1,from 2.8 m,7,Closed balcony,Not available,Cosmetic Renovation
Erebuni,"Էրեբունու փողոց, Երևան","$215,000",Monolith,Yes,Available,15,80,3,1,from 3 m,11,Open balcony,By agreement,Major Renovation
Erebuni,"Erebuni street, Yerevan","$198,600",Stone,No,Not available,5,96,3,1,from 2.8 m,5,Open balcony,By agreement,Cosmetic Renovation
Kentron,"Saryan Street, Yerevan","$450,000",Monolith,Yes,Available,12,127,4,2,from 3 m,3,Open balcony,Available,Major Renovation
Erebuni,"Artsakh avenue, Yerevan","$87,000",Stone,No,Not available,5,57,2,1,from 2.8 m,5,Not available,Partial Furniture,Partial Renovation
Nor Nork,"Մոլդովական փողոց, Երևան","$76,500",Panels,No,Available,5,52,2,1,from 2.7 m,4,Not available,By agreement,Old Renovation
Kentron,"Hin Yerevantsu street, Yerevan","$1,000,000",Monolith,Yes,Available,12,160,4,2,from 3 m,2,Multiple balconies,Available,Major Renovation
Kentron,"Mesrop Mashtots Avenue, Yerevan","$153,000",Stone,No,Not available,4,40,1,1,from 3 m,3,Open balcony,By agreement,Major Renovation
Kentron,"Tpagrichner Street, Yerevan","$255,000",Stone,No,Not available,4,94,4,2,from 3 m,1,Not available,By agreement,Old Renovation
Kentron,"Agatangeghos Street, Yerevan","$193,800",Panels,No,Available,11,83,3,1,from 2.8 m,5,Open balcony,Available,Major Renovation
Nor Nork,"Nansen street lane, Yerevan","$123,000",Panels,No,Not available,5,78,3,1,from 2.6 m,5,Closed balcony,Available,Cosmetic Renovation
Nor Nork,"Minsk Street, Yerevan","$120,000",Panels,No,Available,9,93,4,2,from 2.75 m,7,Open balcony,Available,Partial Renovation
Kentron,"Amiryan Street, Yerevan","$550,000",Stone,No,Not available,4,172,6,2,from 3.2 m,4,Open balcony,Available,Old Renovation
Kentron,"Փավստոս Բուզանդի փողոց, Երևան","$330,000",Monolith,Yes,Available,17,49,2,1,from 3 m,6,Open balcony,Available,Designer Renovation
